,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
356,glendive,0,US,1666665214,86,47.1053,-104.7125,33.49,0.0
357,kerchevskiy,99,RU,1666665214,97,59.946,56.2884,29.35,6.29
358,korla,25,CN,1666665215,38,41.7597,86.1469,54.27,11.14
359,amahai,97,ID,1666665215,65,-3.3333,128.9167,86.14,4.9
360,zhoucheng,92,CN,1666665215,33,35.9122,116.3117,68.4,13.2
361,carnduff,95,CA,1666665216,87,49.1667,-101.8009,30.38,14.67
362,willmar,0,US,1666665216,61,45.1219,-95.0433,46.42,9.22
363,tchollire,83,CM,1666665216,78,8.4022,14.1698,71.53,1.07
364,eureka,100,US,1666665128,85,40.8021,-124.1637,59.2,5.99
365,hargeysa,14,SO,1666665217,85,9.56,44.065,67.03,3.8
366,porosozero,45,RU,1666665217,94,62.7191,32.727,28.6,1.52
367,whitehorse,100,CA,1666665154,91,60.7161,-135.0538,26.02,5.75
368,acapulco,40,MX,1666665217,83,16.8634,-99.8901,82.22,6.91
369,luebo,100,CD,1666665218,99,-5.35,21.4167,70.21,1.1
370,margate,17,GB,1666665218,91,51.3813,1.3862,55.31,3.0
371,kairana,0,IN,1666665218,45,29.4,77.2,70.43,5.01
372,lubao,96,PH,1666665219,68,14.9167,120.55,86.07,7.7
373,kem,100,RU,1666665219,84,64.9555,34.5793,32.13,5.35
374,hobyo,67,SO,1666665219,78,5.3505,48.5268,79.63,9.93
375,aitape,98,PG,1666665219,67,-3.1374,142.3475,85.93,6.73
376,ust-nera,100,RU,1666665220,95,64.5667,143.2,9.36,6.17
377,bouna,73,CI,1666665220,62,9.2667,-3.0,73.92,4.12
378,berdigestyakh,100,RU,1666665220,89,62.0989,126.6992,26.76,13.04
379,nioro,98,GM,1666665221,83,13.35,-15.75,75.16,1.86
380,kosh-agach,0,RU,1666665221,42,50.0,88.6667,23.74,1.77
381,salina,0,US,1666664952,76,38.8403,-97.6114,46.53,0.0
382,yumen,16,CN,1666665222,38,40.2833,97.2,48.52,12.95
383,vanimo,74,PG,1666665222,64,-2.6741,141.3028,86.59,7.72
384,maragogi,13,BR,1666665222,82,-9.0122,-35.2225,75.85,9.01
385,auki,28,SB,1666665222,80,-8.7676,160.7034,81.84,4.63
386,mezen,79,RU,1666665223,88,65.8522,44.24,31.6,5.32
387,blagoyevo,26,RU,1666665223,91,63.3667,47.9167,27.25,6.51
388,nuevo progreso,0,US,1666665223,24,33.8014,-117.1459,67.17,5.75
389,grootfontein,90,NA,1666665224,31,-19.5667,18.1167,76.57,2.95
390,trairi,21,BR,1666665122,79,-3.2778,-39.2689,78.6,11.79
391,tocache,100,PE,1666665224,97,-8.1842,-76.5125,70.21,0.51
392,santa cruz del sur,83,PH,1666665224,74,17.486,120.4348,82.08,13.04
393,milkovo,22,RU,1666665225,36,54.7167,158.6167,37.11,10.58
394,pisco,0,PE,1666665225,88,-13.7,-76.2167,60.03,12.66
395,sayyan,6,YE,1666665225,41,15.1718,44.3244,53.06,3.44
396,asau,100,RO,1666665226,81,46.4333,26.4,45.52,5.77
397,kavaratti,6,IN,1666665226,70,10.5669,72.642,81.39,2.44
398,bambous virieux,2,MU,1666665226,68,-20.2567,57.4061,72.14,9.82
399,elbistan,0,TR,1666665227,52,38.2059,37.1983,47.28,2.48
400,cockburn town,31,AU,1666665227,47,-32.0833,141.0,71.08,11.56
401,xining,100,CN,1666665227,59,36.6167,101.7667,50.72,1.61
402,sorland,76,NO,1666665228,59,67.667,12.6934,41.49,16.71
403,piacabucu,7,BR,1666665228,83,-10.4056,-36.4344,76.46,12.33
404,kjollefjord,75,NO,1666665228,87,70.9457,27.3465,37.45,11.5
405,sao miguel do araguaia,0,IN,1666665229,56,20.5113,76.2129,69.49,5.79
406,garden city,11,DE,1666665229,93,53.688,12.0492,55.62,9.98
407,carsamba,0,TR,1666665229,100,41.1989,36.7219,60.3,3.44
408,bandarbeyla,49,SO,1666665229,82,9.4942,50.8122,76.64,7.4
409,mangrol,2,IN,1666665230,51,21.1167,70.1167,79.29,6.62
410,kargasok,91,RU,1666665130,64,59.0556,80.8572,31.15,15.61
411,tabou,41,CI,1666665231,91,4.423,-7.3528,76.19,6.89
412,golden gate,20,US,1666665004,34,39.7555,-105.2211,42.19,18.41
413,zmiyiv,80,UA,1666665231,86,49.6966,36.3611,44.78,4.5
414,lokosovo,100,RU,1666665231,94,61.1333,74.8167,29.88,15.41
415,baherden,49,TM,1666665232,75,38.4362,57.4316,61.74,2.95
416,ust-tsilma,34,RU,1666665232,93,65.441,52.1498,25.63,7.43
417,vila franca do campo,100,PT,1666665232,94,42.0304,-8.1588,52.68,3.27
418,yarada,20,IN,1666665232,83,17.65,83.2667,79.12,2.3
419,haines junction,100,US,1666665233,52,59.2286,-135.4441,42.55,6.91
420,sabzevar,40,IR,1666665233,59,36.2126,57.6819,60.08,6.91
421,posse,100,BR,1666665233,88,-14.0931,-46.3694,64.62,2.19
422,batticaloa,36,LK,1666665195,74,7.7102,81.6924,82.17,5.37
423,samana,100,DO,1666665234,90,19.2056,-69.3369,75.79,3.74
424,salalah,0,OM,1666665234,73,17.0151,54.0924,75.29,4.61
425,konstantinovskoye,100,RU,1666665234,71,45.2992,42.6367,48.78,14.07
426,zakamensk,42,RU,1666665235,58,50.3741,103.2863,28.74,2.26
427,sao filipe,0,IN,1666665229,56,20.5113,76.2129,69.49,5.79
428,stornoway,75,GB,1666665235,92,58.2093,-6.3865,52.03,8.05
429,lamar,84,US,1666665235,98,33.6668,-95.5836,61.36,8.12
430,seoul,0,KR,1666665056,44,37.5683,126.9778,56.8,8.05
431,matadi,100,CD,1666665236,91,-5.8167,13.45,76.98,3.09
432,havre,40,FR,1666665236,88,49.5833,0.3333,56.97,12.66
433,nantucket,95,US,1666665237,96,41.2835,-70.0995,63.14,8.1
434,port hedland,100,CD,1666665143,48,-7.0349,29.7638,77.76,3.76
435,flinders,61,AU,1666665237,81,-34.5833,150.8552,78.19,3.0
436,marsh harbour,58,GB,1666665237,91,53.6512,-1.8078,53.15,12.64
437,novovarshavka,53,RU,1666665238,60,54.1721,74.6946,31.15,11.79
438,viedma,96,AR,1666665238,34,-40.8135,-62.9967,59.9,8.55
439,nicolas bravo,100,HT,1666665238,82,18.2348,-73.8167,76.17,2.95
440,tagusao,96,PH,1666665239,73,9.1924,117.8141,84.07,4.38
441,praya,20,CV,1666665239,83,14.9215,-23.5087,75.74,6.91
442,flin flon,3,FR,1666665239,93,48.4982,6.6557,53.19,8.59
443,rio gallegos,2,GR,1666665239,50,38.3,21.7833,66.6,1.01
444,winnemucca,100,US,1666665240,29,40.973,-117.7357,51.8,6.8
445,myre,80,NO,1666665240,64,69.1036,15.9492,31.89,11.45
446,preobrazheniye,0,RU,1666665240,35,42.9019,133.9064,48.97,5.79
447,santa rosa,83,PH,1666665037,74,17.486,120.4348,82.08,13.04
448,matara,81,LK,1666665241,75,5.9485,80.5353,81.34,6.87
449,macusani,96,PE,1666665241,81,-14.0833,-70.4333,41.14,3.27
450,chara,4,RU,1666665242,53,56.9064,118.2631,25.83,3.87
451,lagos,100,NG,1666665125,92,6.5833,3.75,79.12,1.54
452,nouakchott,100,MR,1666665242,83,18.0858,-15.9785,76.93,8.7
453,severo-kurilsk,51,RU,1666665032,66,50.6789,156.125,39.2,20.8
454,murygino,96,RU,1666665243,83,58.7383,49.4582,33.71,7.67
455,san buenaventura,4,ML,1666665243,24,13.3034,-4.8956,81.45,6.6
456,macomb,100,US,1666664993,64,40.4592,-90.6718,70.47,20.71
457,mpulungu,98,ZM,1666665243,47,-8.7623,31.1141,77.31,4.83
458,canasgordas,100,CO,1666665244,99,6.7499,-76.0254,63.48,1.95
459,aklavik,60,CA,1666665097,99,68.2191,-135.0107,2.35,1.74
460,cairns,22,AU,1666665244,70,-16.9167,145.7667,87.75,10.36
461,bucerias,20,MX,1666665144,83,20.75,-105.3333,80.58,2.3
462,honningsvag,100,NO,1666665245,75,70.9821,25.9704,37.15,14.97
463,nuuk,96,GL,1666665183,88,64.1835,-51.7216,31.87,1.99
464,fairbanks,75,US,1666665222,89,64.8378,-147.7164,26.22,3.44
465,angoche,1,MZ,1666665245,92,-16.2325,39.9086,70.75,9.37
466,pombia,0,IT,1666665246,93,45.653,8.6336,62.26,3.44
467,kabelvag,67,NO,1666665246,62,68.2114,14.4817,28.42,10.65
468,grand-santi,100,GF,1666665246,90,4.25,-54.3833,74.25,2.8
469,dicabisagan,100,PH,1666665246,87,17.0818,122.4157,78.71,14.94
470,houma,100,US,1666665247,91,29.5958,-90.7195,77.0,10.36
471,pundaguitan,32,PH,1666665247,71,6.3711,126.1689,84.0,7.09
472,kahului,40,US,1666664855,60,20.8947,-156.47,87.82,25.32
473,cumana,100,VE,1666665247,82,10.4635,-64.1775,79.84,2.64
474,abha,0,SA,1666665248,58,18.2164,42.5053,58.82,0.0
475,malinyi,58,TZ,1666665248,84,-8.9333,36.1333,68.58,2.13
476,bakuriani,97,GE,1666665248,94,41.7497,43.5325,38.73,5.12
477,port hardy,100,CD,1666665129,48,-7.0349,29.7638,77.76,3.76
478,svetlogorsk,100,BY,1666665234,97,52.6333,29.7333,49.5,7.29
479,kadaya,100,RU,1666665249,40,50.9327,119.2911,42.67,8.7
480,lombardia,69,MX,1666665249,79,19.15,-102.0333,75.42,2.77
481,rorvik,17,NO,1666665250,87,64.8621,11.2373,42.78,6.91
482,tessalit,81,ML,1666665250,21,20.1986,1.0114,72.79,10.47
483,goderich,100,CA,1666665250,48,43.7501,-81.7165,62.92,10.36
484,tieling,0,CN,1666665251,33,42.2931,123.8414,57.13,17.05
485,ixtapa,20,MX,1666665251,83,20.7,-105.2,79.83,2.3
486,fare,65,PF,1666665251,78,-16.7,-151.0167,78.94,15.1
487,aras,0,ES,1666665252,76,42.5617,-2.356,51.76,1.14
488,dakar,100,SN,1666665252,70,14.6937,-17.4441,76.08,2.04
489,moree,34,AU,1666665252,44,-29.4667,149.85,80.37,13.18
490,bandipur,0,NP,1666665253,64,27.9333,84.4167,62.49,0.58
491,kieta,27,PG,1666665253,74,-6.2167,155.6333,83.97,2.44
492,bac lieu,99,RS,1666665253,74,45.3919,19.2367,53.6,10.27
493,paraguari,0,PY,1666665254,80,-25.6208,-57.1472,66.85,4.61
494,constitucion,100,CL,1666665199,91,-35.3333,-72.4167,51.67,7.4
495,serebryansk,0,KZ,1666665254,60,49.6925,83.2892,32.11,4.21
496,karlstad,100,SE,1666665255,98,59.3793,13.5036,48.76,5.75
497,port-gentil,100,GA,1666665255,90,-0.7193,8.7815,76.08,14.2
498,paamiut,92,GL,1666665255,82,61.994,-49.6678,31.41,12.12
499,lavrentiya,6,RU,1666665256,69,65.5833,-171.0,24.64,0.94
500,san vicente de chucuri,4,ML,1666665243,24,13.3034,-4.8956,81.45,6.6
501,waipawa,97,NZ,1666665256,55,-41.4122,175.5153,50.11,7.38
502,gumdag,0,TM,1666665257,76,39.2061,54.5906,59.59,14.81
503,sabla,41,NG,1666665257,40,12.7525,4.7077,80.67,8.59
504,houston,75,US,1666664715,79,29.7633,-95.3633,79.2,17.27
505,ashta,0,IN,1666665257,50,23.0167,76.7167,70.41,5.48
506,pacific grove,98,US,1666665258,79,38.482,-90.7415,72.37,11.34
507,sept-iles,75,CA,1666665062,95,50.2001,-66.3821,44.6,3.44
508,nouadhibou,100,MR,1666665258,94,20.931,-17.0347,66.18,4.61
509,biskamzha,64,RU,1666665258,74,53.4497,89.5272,26.91,1.59
510,calbuco,77,CL,1666665259,88,-41.768,-73.1273,54.61,3.33
511,klyuchi,0,RU,1666665259,51,52.2667,79.1667,31.41,7.61
512,gizo,77,SB,1666665259,66,-8.103,156.8419,84.76,3.83
513,kirakira,28,SB,1666665260,76,-10.4544,161.9205,83.32,3.91
514,iskilip,0,TR,1666665260,78,40.7353,34.4739,48.51,2.62
515,mayo,100,US,1666665260,94,38.8876,-76.5119,61.18,0.0
516,emba,100,KZ,1666665261,59,48.8264,58.1442,41.09,9.98
517,barrhead,75,GB,1666665261,88,55.7992,-4.3929,53.82,6.91
518,san luis potosi,4,ML,1666665159,24,13.3034,-4.8956,81.45,6.6
519,asha,100,RU,1666665261,98,54.9973,57.2722,38.16,6.04
520,berlevag,75,NO,1666665262,86,70.8578,29.0864,35.6,14.97
521,yanam,5,IN,1666665262,59,16.7333,82.2167,82.08,2.15
522,usogorsk,48,RU,1666665262,90,63.4106,48.6872,27.54,6.85
523,huilong,42,CN,1666665263,51,31.8111,121.655,67.93,13.73
524,kumluca,0,TR,1666665263,39,36.3703,30.2869,69.58,4.29
525,klaksvik,100,FO,1666665263,98,62.2266,-6.589,50.92,23.31
526,lompoc,0,US,1666665188,86,34.6391,-120.4579,61.79,4.61
527,jasper,100,US,1666665102,93,37.2001,-94.3502,55.45,9.22
528,bousso,91,TD,1666665264,50,10.4795,16.7117,73.9,2.59
529,filadelfia,100,US,1666664998,95,39.9523,-75.1638,61.05,6.91
530,dunkirk,66,FR,1666665264,77,51.05,2.3667,55.4,15.95
531,auch,58,FR,1666665265,88,43.65,0.5833,64.26,3.0
532,sao luiz gonzaga,0,IN,1666665265,56,20.5113,76.2129,69.49,5.79
533,cha grande,96,CN,1666665265,30,29.3862,88.9798,43.48,3.76
534,kefamenanu,100,ID,1666665265,44,-9.4467,124.4781,90.03,4.34
535,fairlie,63,GB,1666665266,89,55.756,-4.8556,54.18,5.01
536,bahia honda,100,BR,1666665266,94,-12.0,-42.0,67.6,4.54
537,linqiong,100,CN,1666665266,92,30.4159,103.4609,60.62,4.68
538,inirida,100,CO,1666665267,95,3.8653,-67.9239,71.8,2.15
539,bonavista,100,CA,1666665267,68,48.6499,-53.1147,48.81,2.71
540,koumac,98,NC,1666665267,65,-20.5667,164.2833,81.41,2.17
541,ledyard,100,US,1666665268,97,41.4398,-72.0142,61.29,6.55
542,yerbogachen,100,RU,1666665268,83,61.2767,108.0108,29.41,13.94
543,samarai,24,PG,1666665268,66,-10.6167,150.6667,83.53,9.62
544,raisinghnagar,0,IN,1666665269,23,29.5358,73.4492,78.06,3.69
545,sibu,40,MY,1666665269,74,2.3,111.8167,84.51,5.75
546,leirvik,100,NO,1666665269,83,59.7798,5.5005,51.85,4.05
547,sambava,4,MG,1666665270,80,-14.2667,50.1667,68.58,5.35
548,punta gorda,100,PH,1666665270,90,8.9897,125.34,79.18,8.01
549,epe,96,NG,1666665270,91,6.5841,3.9834,76.41,1.45
550,padang,100,ID,1666665271,77,-0.9492,100.3543,75.25,2.8
551,robertsport,100,LR,1666665271,86,6.7533,-11.3686,77.22,5.93
552,qaqortoq,66,GL,1666665271,87,60.7167,-46.0333,28.02,4.72
553,northam,67,GB,1666665272,96,51.0333,-4.2167,54.39,9.24
554,malaba,76,KE,1666665272,64,0.6346,34.2756,64.04,2.84
555,duma,100,CN,1666665272,51,34.7653,108.135,57.07,5.14
556,kearney,0,US,1666665273,55,40.6995,-99.0815,44.51,16.11
557,martapura,40,ID,1666665273,89,-3.4167,114.85,78.89,3.44
558,sur,0,OM,1666665273,39,22.5667,59.5289,81.23,4.45
559,shimoda,100,JP,1666665273,82,34.6667,138.95,57.56,19.15
560,carutapera,61,BR,1666665274,75,-1.195,-46.02,78.87,8.01
561,ayan,100,RU,1666665274,51,56.45,138.1667,39.2,7.11
562,novopokrovka,81,UA,1666665274,87,49.8425,36.5477,44.58,4.56
563,saldanha,100,ZA,1666665275,82,-33.0117,17.9442,55.45,13.73
